ID,Place (x),Knowledge (y),Action (z),ETName
3208,0.06,-0.31,0.88,Traditional Ways
3209,-0.25,-0.19,0.44,Earth Spirit
3212,0.06,-0.38,0.38,Traditional Ways
3220,-0.13,0.06,0.38,Ecoscience
3221,-0.13,0.06,-0.38,Ecoscience
3223,-0.81,-0.06,0.50,Earth Spirit
3224,-0.31,-0.56,0.75,Earth Spirit
3227,0.00,0.25,0.75,Boundary
3228,-0.31,-0.63,0.25,Earth Spirit
3229,-0.19,-0.44,0.56,Earth Spirit
3230,-0.69,0.00,0.50,Boundary
3232,-0.06,0.25,0.50,Ecoscience
3243,-0.13,-0.50,0.13,Earth Spirit
3244,-0.13,0.00,0.69,Boundary
3249,0.31,-0.06,1.00,Traditional Ways
3250,-0.56,-0.19,0.38,Earth Spirit
3251,-0.44,0.88,0.00,Ecoscience
3252,-0.50,-0.19,0.06,Earth Spirit
3253,-0.13,0.06,0.19,Ecoscience
3254,-0.31,-0.13,0.00,Earth Spirit
3255,-0.31,0.31,0.25,Ecoscience
3256,-0.19,0.00,-0.13,Boundary
3257,0.00,-0.19,0.06,Boundary
3258,-0.75,0.13,0.31,Ecoscience
3280,-0.06,-0.31,-0.19,Earth Spirit
3281,-0.56,-0.19,0.06,Earth Spirit
3282,-0.19,-0.06,0.81,Earth Spirit
3283,-0.44,0.25,0.00,Ecoscience
3284,0.38,-0.38,0.00,Traditional Ways
3285,-0.38,-0.19,0.06,Earth Spirit
3286,0.31,-0.63,0.50,Traditional Ways
3292,0.19,-0.19,0.38,Traditional Ways
3293,0.25,0.19,0.13,Technoprogress
3294,-0.50,0.25,0.75,Ecoscience
3295,0.44,0.75,0.00,Technoprogress
3296,-0.13,-0.25,0.50,Earth Spirit
3297,-0.31,0.44,0.00,Ecoscience
3298,-0.38,-0.13,0.44,Earth Spirit
3300,0.00,0.06,0.19,Boundary
3301,-0.38,-0.25,0.13,Earth Spirit
3302,-0.25,0.00,0.63,Boundary
3303,-0.06,-0.31,-0.13,Earth Spirit
3304,-0.63,0.00,0.13,Boundary
3305,0.19,0.13,0.50,Technoprogress
3306,0.13,-0.31,-0.06,Traditional Ways
3307,-0.38,-0.06,0.38,Earth Spirit
3308,0.13,-0.63,0.75,Traditional Ways
3309,-0.25,-0.31,0.19,Earth Spirit
3310,-0.25,-0.69,-0.13,Earth Spirit
3311,-0.25,-0.19,-0.25,Earth Spirit
3312,-0.38,0.00,-0.25,Boundary
3313,-0.06,-0.06,0.63,Earth Spirit
3314,0.06,-0.19,0.38,Traditional Ways
3315,-0.50,0.25,0.13,Ecoscience
3316,-0.63,-0.38,0.25,Earth Spirit
3321,-0.69,-0.25,0.19,Earth Spirit
3324,-0.38,-0.25,-0.19,Earth Spirit
3325,-0.19,0.00,0.81,Boundary
3326,-0.63,-0.56,0.31,Earth Spirit
3327,-0.38,0.00,0.44,Boundary
3328,-0.06,-0.69,0.75,Earth Spirit
3330,-0.13,-0.06,0.81,Earth Spirit
3331,-0.38,-0.25,0.00,Earth Spirit
3333,0.13,-0.25,-0.19,Traditional Ways
3334,-0.63,-0.25,0.81,Earth Spirit
3335,0.00,-0.19,-0.06,Boundary
3336,-0.31,-0.38,-0.13,Earth Spirit
3338,0.06,0.13,0.00,Technoprogress
3340,-0.25,0.00,0.56,Boundary
3341,-0.75,-0.63,0.56,Earth Spirit
3342,0.06,0.31,0.38,Technoprogress
3343,-0.13,0.06,0.25,Ecoscience
3344,0.25,0.13,0.63,Technoprogress
3345,0.06,0.25,0.38,Technoprogress
3346,-0.38,-0.44,0.25,Earth Spirit
3347,0.19,0.25,0.06,Technoprogress
3348,-0.38,-0.25,0.38,Earth Spirit
3349,-0.38,-0.31,0.00,Earth Spirit
3350,-0.25,-0.19,0.25,Earth Spirit
3351,-0.19,-0.19,0.44,Earth Spirit
3352,-0.44,-0.25,0.94,Earth Spirit
3354,-0.06,0.19,-0.19,Ecoscience
3355,-0.44,0.31,0.31,Ecoscience
3356,-0.19,-0.25,0.31,Earth Spirit
3358,-0.13,0.19,0.63,Ecoscience
3359,-0.25,0.06,0.13,Ecoscience
3360,0.19,0.50,0.31,Technoprogress
3361,-0.25,-0.38,0.50,Earth Spirit
3362,0.06,0.50,0.44,Technoprogress
3363,0.06,0.56,-0.31,Technoprogress
3364,-0.06,-0.19,0.69,Earth Spirit
3366,-0.44,-0.06,0.06,Earth Spirit
3367,-0.25,-0.31,0.38,Earth Spirit
3373,-0.19,0.19,0.31,Ecoscience
3383,0.06,-0.06,0.38,Traditional Ways
3384,-0.31,-0.06,0.50,Earth Spirit
3386,-0.31,0.00,-0.25,Boundary
3388,-0.13,0.31,0.56,Ecoscience
3389,-0.19,-0.38,0.00,Earth Spirit
3390,0.25,0.06,0.75,Technoprogress
3391,0.06,0.25,0.25,Technoprogress
3394,0.06,0.13,0.13,Technoprogress
3400,-0.06,0.13,0.06,Ecoscience
3401,0.06,0.19,-0.06,Technoprogress
3402,-0.75,0.13,-0.31,Ecoscience
3403,0.50,0.44,0.81,Technoprogress
3407,-0.44,-0.38,0.63,Earth Spirit
3408,-0.31,-0.13,0.25,Earth Spirit
3409,0.44,0.81,0.25,Technoprogress
3411,-0.06,0.06,0.38,Ecoscience
3412,-0.13,-0.19,0.56,Earth Spirit
3414,-0.31,0.19,0.13,Ecoscience
3416,-0.50,-0.69,0.94,Earth Spirit
3422,-0.50,-0.31,-0.50,Earth Spirit
3429,0.44,0.63,0.75,Technoprogress
3430,0.19,-0.19,0.69,Traditional Ways
3434,-0.13,0.75,0.94,Ecoscience
3438,-0.25,-0.06,0.19,Earth Spirit
3439,-0.44,0.69,0.38,Ecoscience
3442,-0.25,-0.31,0.06,Earth Spirit
3443,-0.19,-0.13,-0.06,Earth Spirit
3444,-0.19,0.31,-0.13,Ecoscience
3445,-0.44,-0.25,0.31,Earth Spirit
3446,-0.13,0.31,0.44,Ecoscience
3449,0.00,-0.25,0.50,Boundary
3451,-0.38,0.00,0.06,Boundary
3452,0.00,-0.06,-0.19,Boundary
3453,0.13,-0.06,0.06,Traditional Ways
3454,0.00,0.25,0.00,Boundary
3455,0.00,-0.06,-0.38,Boundary
3456,-0.25,-0.31,-0.31,Earth Spirit
3457,-0.25,0.13,-0.13,Ecoscience
3458,0.19,0.19,-0.13,Technoprogress
3459,-0.25,-0.13,0.38,Earth Spirit
3460,-0.31,-0.25,0.13,Earth Spirit
3461,-0.06,-0.19,-0.50,Earth Spirit
3462,0.13,0.00,0.06,Boundary
3463,-0.13,-0.13,0.63,Earth Spirit
3464,-0.13,0.06,-0.38,Ecoscience
3465,-0.38,0.13,0.13,Ecoscience
3466,-0.25,0.38,-0.63,Ecoscience
3467,-0.44,0.06,0.00,Ecoscience
3468,-0.25,-0.13,-0.19,Earth Spirit
3470,-0.25,-0.31,-0.19,Earth Spirit
3471,-0.50,-0.19,0.38,Earth Spirit
3472,-0.31,0.25,0.44,Ecoscience
3473,-0.44,0.38,0.94,Ecoscience
3474,0.13,0.06,-0.06,Technoprogress
3475,-0.31,-0.13,-0.13,Earth Spirit
3476,-0.31,0.44,0.31,Ecoscience
3478,-0.63,-0.13,0.75,Earth Spirit
3479,-0.13,0.00,-0.63,Boundary
3480,0.13,0.13,-0.38,Technoprogress
3481,-0.13,0.00,-0.13,Boundary
3482,-0.19,0.13,-0.25,Ecoscience
3483,0.13,0.00,-0.06,Boundary
3485,-0.06,-0.06,0.00,Earth Spirit
3487,-0.06,-0.06,-0.25,Earth Spirit
3488,-0.13,0.06,0.38,Ecoscience
3489,-0.06,0.13,-0.06,Ecoscience
3490,-0.25,-0.25,-0.50,Earth Spirit
3499,-0.38,0.00,0.81,Boundary
3500,-0.19,0.31,-0.44,Ecoscience
3501,0.00,-0.13,-0.25,Boundary
3502,-0.19,-0.06,0.75,Earth Spirit
3503,0.00,0.00,-0.19,Boundary
3505,-0.19,-0.19,0.50,Earth Spirit
3506,-0.25,0.00,0.50,Boundary
3507,-0.13,0.19,-0.31,Ecoscience
3508,0.06,0.06,-0.31,Technoprogress
3510,-0.19,-0.38,-0.06,Earth Spirit
3511,-0.38,0.25,0.75,Ecoscience
3512,-0.19,0.19,0.56,Ecoscience
3513,-0.94,-0.81,0.06,Earth Spirit
3516,0.19,0.44,0.06,Technoprogress
3517,-0.31,0.00,0.69,Boundary
3518,0.00,-0.25,0.13,Boundary
3520,-0.06,-0.19,0.25,Earth Spirit
3521,0.13,-0.31,0.81,Traditional Ways
3522,-0.31,-0.06,0.00,Earth Spirit
3523,-0.69,-0.13,-0.13,Earth Spirit
3524,-0.63,-0.31,-0.31,Earth Spirit
3525,0.38,0.19,-0.25,Technoprogress
3528,0.44,-0.13,0.88,Traditional Ways
3529,-0.50,-0.50,0.94,Earth Spirit
3530,-0.69,-0.13,0.25,Earth Spirit
